latitude,longitude
-34.7825,138.6106
24.4798,118.0819
-33.494,143.2104
23.1167,113.25
35.69,139.69
34.3409,132.5311
34.3231,132.3117
35.6882,139.7532
34.35,132.3333
34.4586,132.463
34.4299,132.591
34.3401,132.4439
34.4524,132.4782
34.3721,132.3469
35.4726,133.0679
35.424,133.3594
34.5337,133.6546
35.4,133.1167
35.5314,134.2118
35.4349,133.3587
34.6154,133.6852
34.6823,133.9235
35.5,134.2333
35.4119,133.8125
34.5298,133.739
35.3667,132.7333
35.4333,133.3333
35.4498,133.0435
35.4333,133.8167
35.5417,134.1
34.65,133.9333
35.449,133.3551
35.4436,133.0788
35.4215,133.2422
19.1,100.8167
7.1988,100.5951
14.3738,100.5631
14.8,100.6167
13.75,100.4667
13.6855,100.5003
12.7833,101.65
9.1308,99.3628
9.9667,98.6333
12.6667,101.2833
13.7663,100.6503
12.2131,102.5776
7.9167,98.35
13.1667,100.9333
13.754,100.5014
13.6682,100.5805
16.6667,99.6
13.4,100.0
14.6488,100.4788
13.7159,100.417
13.7086,100.4553
13.1604,101.1083
13.5854,99.7875
5.9333,101.9
34.7725,113.7266
34.6497,135.4392
16.8833,101.8833
18.0167,103.2833
17.4833,101.7167
18.0501,103.3054
17.9794,100.0533
18.791,98.9782
14.1833,100.2833
13.9333,100.75
13.7594,100.4889
17.4719,103.4583
16.1848,103.3007
17.1336,102.9675
16.295,102.6138
17.845,102.5842
16.3333,102.65
17.4064,103.2389
14.8818,103.4936
15.4167,102.9
16.05,103.6667
17.6333,103.7667
13.733,100.4865
39.9289,116.3883
37.751,-97.822
17.4157,102.7859
16.7167,102.65
16.3167,103.3
16.4433,101.1475
6.6819,101.2714
14.6167,103.0833
6.758,101.3775
16.8333,100.25
16.0667,99.8667
16.4333,100.3667
15.5833,102.4167
15.0598,102.2215
16.31,99.68
12.7167,101.0667
16.7,102.8667
6.7031,101.6203
13.8167,100.75
13.7167,100.7833
13.8594,100.4775
16.4333,103.5
13.7618,100.5324
13.7667,100.45
13.8,100.5333
13.0694,100.0528
13.8667,100.1917
13.5167,99.9333
17.2833,101.15
9.1167,99.2
12.9833,77.5833
18.5332,73.8626
18.9721,72.8246
20.0,77.0
19.2,72.9667
22.65,88.3833
13.0843,80.2805
19.0368,73.0158
22.572,88.367
28.4666,77.0309
3.0473,101.5712
3.0186,101.4286
3.1071,101.6139
3.0643,101.7543
3.11,101.5538
3.1365,101.6941
2.5,112.5
3.109,101.5704
3.0947,101.6796
3.1684,101.7033
3.144,101.5875
3.1013,101.6915
3.1336,101.6675
3.1492,101.6951
5.3653,100.3067
6.0432,100.5221
5.7879,100.4719
3.5281,101.9763
5.3294,100.2907
4.5916,101.0967
5.3956,100.3111
6.0276,100.3989
3.0081,101.7719
3.7577,101.9827
2.8093,101.8334
2.2086,111.6
1.562,110.3152
3.1572,101.6695
3.0833,101.5333
3.075,101.7382
3.0232,101.4621
1.4484,103.5873
1.4656,103.9435
5.3344,100.4673
4.317,100.7977
2.9881,101.6053
3.1296,101.6274
3.1093,101.6995
3.1479,101.7008
2.2582,102.3555
2.7107,101.9513
1.6712,103.9725
2.9264,101.6964
1.4655,103.7578
1.9226,103.4038
3.0384,101.7105
3.1833,101.6584
3.1419,101.6934
3.5321,103.4619
4.3305,103.352
3.1189,101.6746
3.12,101.5952
3.1065,101.6079
1.5243,103.824
2.7486,101.9435
5.6639,100.4902
2.0102,102.6981
5.9749,116.0724
2.7724,101.9402
3.1876,101.672
-33.8591,151.2002
2.2872,102.2759
2.5829,101.8402
2.691,101.989
3.1571,101.6019
3.0542,101.5949
4.6114,101.1043
13.7877,100.5068
8.6333,99.35
6.8021,100.6211
9.1417,99.3313
14.0435,100.6421
17.0153,99.7078
13.7366,100.4995
12.8,99.9667
14.0167,100.1667
14.8167,100.5167
14.3333,100.8667
16.7,103.7667
15.6633,104.3067
13.5033,102.1812
16.1833,100.85
18.2983,99.5072
8.0667,99.3
6.8667,100.9667
13.2167,99.9833
13.5333,100.2833
13.65,100.2667
14.9833,100.0167
37.5112,126.9741
37.4562,126.7288
37.5985,126.9783
36.9167,126.6667
36.5671,126.6263
37.4988,126.7827
37.62,126.7181
37.4461,126.8652
37.6742,126.622
39.9288,116.3889
13.9181,100.4974
14.0866,99.5509
18.7833,100.7833
18.5811,99.0092
18.7422,99.1225
7.4944,100.0583
6.8453,101.1881
13.6,101.0833
13.4167,99.95
14.7333,100.6833
18.19,99.3928
13.7167,100.2167
12.9667,101.2167
34.3779,132.4763
35.6363,139.7303
